drop_id,frame,time_s,x_px,y_px,x_um,y_um,source_video,x_drift_um,x_dedrift_um
drop1,0,0.0,618.7587447531481,544.722191684989,1473.2645712572455,1296.9835384019586,brownian,0.0,1473.2645712572455
drop1,1,0.1,616.5824097435965,546.120289031849,1468.0827175995032,1300.3124081848323,brownian,0.00849413759786321,1468.0742234619054
drop1,2,0.2,617.7825823168805,546.2622511533843,1470.9403284964924,1300.650419996208,brownian,0.01698827519572642,1470.9233402212967
drop1,3,0.3,617.2226368159204,546.4520534581992,1469.6070982587064,1301.1023392839722,brownian,0.025482412793589627,1469.581615845913
drop1,4,0.4,614.7928811868844,546.0769106096496,1463.8218501059716,1300.2091241615756,brownian,0.03397655039145284,1463.7878735555803
drop1,5,0.5,613.9656624873759,546.368192230953,1461.8522423824418,1300.902665701899,brownian,0.042470687989316046,1461.8097716944524
drop1,6,0.6,614.1577958917509,545.8763743071405,1462.3097120182588,1299.7316472253015,brownian,0.050964825587179255,1462.2587471926715
drop1,7,0.7,615.1203446097603,545.8703681303173,1464.6015405158391,1299.7173465182852,brownian,0.05945896318504246,1464.542081552654
drop1,8,0.8,613.4995817117084,543.6749475624098,1460.7425040555777,1294.4900501460975,brownian,0.06795310078290567,1460.6745509547948
drop1,9,0.9,614.3344031789699,545.1673961068734,1462.7302139691271,1298.0435701304655,brownian,0.07644723838076889,1462.6537667307464
drop1,10,1.0,614.8383630137798,543.4175641891492,1463.9301423358097,1293.877220334364,brownian,0.08494137597863209,1463.8452009598311
drop1,11,1.1,617.5960906862745,544.079350490196,1470.4962919240193,1295.4529335171567,brownian,0.09343551357649531,1470.4028564104428
drop1,12,1.2,612.9265759600677,542.5183560099831,1459.378177360921,1291.7362056597697,brownian,0.10192965117435851,1459.2762477097467
drop1,13,1.3,614.2282190861949,541.3693403162973,1462.47738964423,1289.0003992931038,brownian,0.11042378877222173,1462.3669658554577
drop1,14,1.4,613.2680516337233,546.3801129487697,1460.1912309398951,1300.9310489310205,brownian,0.11891792637008491,1460.072313013525
drop1,15,1.5,613.5052919888955,543.524241522903,1460.75610022556,1294.131219066032,brownian,0.12741206396794813,1460.628688161592
drop1,16,1.6,612.1632824154553,544.222287975737,1457.560775431199,1295.7932676702296,brownian,0.13590620156581135,1457.4248692296333
drop1,17,1.7,613.2278326537644,539.5518865215644,1460.0954695486128,1284.6730418078446,brownian,0.14440033916367456,1459.951069209449
drop1,18,1.8,611.5771173549924,540.3626553396665,1456.165116422237,1286.6034823637458,brownian,0.15289447676153778,1456.0122219454754
drop1,19,1.9,610.0696455108617,536.5760991166992,1452.5758259613617,1277.5876919968607,brownian,0.16138861435940097,1452.4144373470024
drop1,20,2.0,611.3634266115831,535.7848780107569,1455.6563187621794,1275.703794543612,brownian,0.16988275195726418,1455.4864360102222
drop1,21,2.1,611.9567191648564,541.0263546946657,1457.068948331523,1288.1837505279989,brownian,0.1783768895551274,1456.8905714419677
drop1,22,2.2,609.8265441647526,534.8682791918624,1451.9970016562759,1273.5213727558241,brownian,0.18687102715299062,1451.8101306291228
drop1,23,2.3,609.318127847577,541.5418334944084,1450.7864624050808,1289.4111055501862,brownian,0.1953651647508538,1450.5910972403299
drop1,24,2.4,610.0893193896794,542.0469006392202,1452.6226694668267,1290.6136704219832,brownian,0.20385930234871702,1452.418810164478
drop1,25,2.5,608.9355850674475,541.521410645195,1449.8756280455923,1289.3624787462093,brownian,0.21235343994658024,1449.6632746056457
drop1,26,2.6,609.9529868114818,543.7375743470391,1452.298061598138,1294.6391645202998,brownian,0.22084757754444345,1452.0772140205936
drop1,27,2.7,608.5502869745443,544.7636445767125,1448.95823328639,1297.0822377371524,brownian,0.22934171514230667,1448.7288915712477
drop1,28,2.8,607.5282279560721,541.4064532466148,1446.5247107634075,1289.0887651801897,brownian,0.23783585274016983,1446.2868749106674
