drop_id,frame,time_s,x_px,y_px,x_um,y_um,source_video
drop1,0,0.0,612.056035519783,422.2018328557993,1457.3054205726032,1005.262564029658,freefall
drop1,1,0.1,587.1902985966674,431.37629395873677,1398.1001009586648,1027.1069559157522,freefall
drop1,2,0.2,604.900541904139,417.5853499018967,1440.2681902737547,994.2707181164159,freefall
drop1,3,0.3,592.8553495558131,427.90851404292886,1411.5885872923907,1018.8501719362135,freefall
drop1,4,0.4,569.6120927107827,399.6583271750084,1356.2463927443735,951.586477003695,freefall
drop1,5,0.5,578.5764539585853,398.32152485318335,1377.5905368753913,948.4035506754294,freefall
drop1,6,0.6,593.3672610843097,385.37696703422927,1412.8074486417413,917.5825585084998,freefall
drop1,7,0.7,615.2268693449149,391.5462902642056,1464.8551759102422,932.2717171190734,freefall
drop1,8,0.8,612.8287059775229,388.3087423800306,1459.1451489324818,924.5631156068528,freefall
drop1,9,0.9,632.8444206272944,400.5724862640747,1506.802565513588,953.7630897947618,freefall
drop1,10,1.0,656.9254854693987,386.88533547609484,1564.1395809026383,921.1739837685817,freefall
drop1,11,1.1,653.1110318355,389.7168195893206,1555.0573668003253,927.9157474421722,freefall
drop1,12,1.2,648.2720138408305,398.0205951557093,1543.5356649550172,947.6870370657438,freefall
drop1,13,1.3,625.2069673935374,399.22466469051744,1488.6177893640124,950.553926628122,freefall
drop1,14,1.4,632.6649276402651,385.17790624639485,1506.375192711471,917.108594772666,freefall
drop1,15,1.5,615.2142597149222,380.6873753330518,1464.8251523812296,906.4166406679963,freefall
drop1,16,1.6,630.5181736833134,365.7110320436339,1501.2637715399692,870.7579672958923,freefall
drop1,17,1.7,626.8930655574869,373.67821889744226,1492.6323890923761,889.7278391948099,freefall
drop1,18,1.8,616.9227388488686,386.1849523393728,1468.893041199156,919.5063715200465,freefall
drop1,19,1.9,604.5819575700378,383.46440252873265,1439.50964097426,913.0287424209124,freefall
drop1,20,2.0,596.3415730668318,395.5499543055924,1419.8892854721262,941.8044412016154,freefall
drop1,21,2.1,598.4872304120395,394.6950683935215,1424.9980956110658,939.7689578449747,freefall
drop1,22,2.2,595.5553786585832,388.6943729780676,1418.0173565860864,925.4813020607788,freefall
drop1,23,2.3,598.4092132464797,394.3329432720937,1424.812336739868,938.906737930855,freefall
drop1,24,2.4,574.6008052708638,398.17913616398243,1368.1245173499267,948.0645232064421,freefall
drop1,25,2.5,566.547686246018,391.8119096853518,1348.9500409517686,932.9041569608225,freefall
drop1,26,2.6,553.7099967855995,384.9484410157506,1318.3835023465124,916.5622380585021,freefall
drop1,27,2.7,551.0020216512326,388.85871918612236,1311.9358135515845,925.8726103821573,freefall
drop1,28,2.8,535.1271494615775,384.8142442352145,1274.1377428680157,916.2427155240457,freefall
drop1,29,2.9,508.9070963513841,389.4723397586585,1211.7077964126454,927.3336409653658,freefall
drop1,30,3.0,495.02178107087934,398.91792254997904,1178.6468607297636,949.8235735915,freefall
drop1,31,3.1,517.6734844813956,422.67861059396597,1232.5805665502028,1006.3977718242329,freefall
drop1,32,3.2,496.1837525628844,442.9840976146422,1181.4135148522278,1054.745136420463,freefall
drop1,33,3.3,469.7112937433722,467.95205271928495,1118.382590402969,1114.1938375246173,freefall
drop1,34,3.4,453.37153170791396,454.53814738903,1079.477616996543,1082.2553289332802,freefall
drop1,35,3.5,454.1569430525903,461.03100808969833,1081.3476814082173,1097.7148302615717,freefall
drop1,36,3.6,468.22397010843815,464.9457673927464,1114.8412728281912,1107.0358721621292,freefall
drop1,37,3.7,470.62129988772074,467.0536516280494,1120.549315032663,1112.0547445263855,freefall
drop1,38,3.8,464.22790380738763,469.1204962948241,1105.3266389653897,1116.975901677976,freefall
drop1,39,3.9,455.98639381565414,460.1634144820922,1085.7036036750724,1095.6490898818615,freefall
drop1,40,4.0,467.7227622975823,465.3486293285235,1113.6478970305434,1107.9950864312143,freefall
drop1,41,4.1,452.3906052080694,464.74992999906664,1077.1420310004132,1106.5695833277775,freefall
drop1,42,4.2,450.5242140099283,463.5762578905436,1072.6981535576392,1103.7750700373842,freefall
drop1,43,4.3,466.23430990824187,469.2748931303945,1110.1038918915237,1117.3435205434691,freefall
drop1,44,4.4,463.9249486263269,467.12879412573136,1104.6053026792843,1112.2336588133662,freefall
drop1,45,4.5,472.2044332415155,469.96458084299155,1124.3187555480483,1118.9856669871629,freefall
drop1,46,4.6,465.53520999858415,469.9599567517473,1108.4393350066287,1118.9746570259103,freefall
drop1,47,4.7,464.2379315845188,470.4956424645814,1105.350515102739,1120.2501247081682,freefall
drop1,48,4.8,463.98405290773377,470.7547216027021,1104.746029973314,1120.8669921360336,freefall
drop1,49,4.9,449.6703841387856,466.5228410065771,1070.6651846344485,1110.79088443666,freefall
drop1,50,5.0,449.02552077935536,467.36819877707535,1069.129764975645,1112.8036812882162,freefall
drop1,51,5.1,463.16832122311075,472.1230416008975,1102.8037728322265,1124.124962051737,freefall
drop1,52,5.2,466.4267896550869,471.7228173274815,1110.5621861687619,1123.1720280567333,freefall
drop1,53,5.3,464.2883220899972,473.4095479926224,1105.4704948962833,1127.1881337704338,freefall
drop1,54,5.4,464.88736523674356,470.4068817548208,1106.8968166286863,1120.0387854582282,freefall
drop1,55,5.5,466.9769794624579,470.5849567456911,1111.8721881001122,1120.4627820114904,freefall
drop1,56,5.6,468.75365435988766,468.72825535995617,1116.1024510308923,1116.0419760120556,freefall
drop1,57,5.7,451.48521621370435,468.9326464769846,1074.98629980483,1116.5286312617002,freefall
drop1,58,5.8,463.2007832319401,473.4924509248541,1102.8810648752492,1127.3855256520776,freefall
drop1,59,5.9,470.8515491998638,474.1021314266258,1121.0975386448756,1128.837174926796,freefall
drop1,60,6.0,451.4526347134509,468.86791071627977,1074.9087232527265,1116.374495415462,freefall
drop1,61,6.1,428.011637152927,467.53235407891344,1019.0957080611191,1113.1945350618928,freefall
drop1,62,6.2,428.32449252663133,468.11030090551714,1019.8406167059092,1114.5706264560363,freefall
drop1,63,6.3,422.00999125059974,452.29251220682454,1004.8057891676779,1076.9084715644492,freefall
drop1,64,6.4,444.1937396100465,469.29270995760254,1057.6252940115207,1117.3859424090515,freefall
drop1,65,6.5,460.3603395786114,467.92938857073887,1096.1179685366735,1114.139874186929,freefall
drop1,66,6.6,474.7629566581996,474.5849746651949,1130.410599803173,1129.986824677829,freefall
drop1,67,6.7,470.7641318201129,470.4557504400073,1120.8893978636886,1120.1551417976573,freefall
drop1,68,6.8,479.2337466784765,471.69152220675693,1141.0555508414525,1123.097514374288,freefall
drop1,69,6.9,473.823305427327,474.69381634196594,1128.1732902224655,1130.2459767102207,freefall
drop1,70,7.0,483.3407881979928,473.59100437596624,1150.834416699421,1127.6201814191754,freefall
drop1,71,7.1,469.83497108410114,473.699899529504,1118.6770661512446,1127.879460779749,freefall
drop1,72,7.2,454.15829786042343,470.3585471042903,1081.3509072056681,1119.923700655315,freefall
drop1,73,7.3,428.42915446243967,470.14740911440384,1020.0898167750688,1119.4209811013955,freefall
drop1,74,7.4,428.9669750418814,471.05801508797765,1021.3703675747196,1121.5891339244747,freefall
drop1,75,7.5,426.89959534128957,470.3078076535957,1016.4479365076104,1119.8028900232114,freefall
drop1,76,7.6,423.0761025036304,460.08057912149104,1007.344200061144,1095.4518588882702,freefall
drop1,77,7.7,408.6790515553622,474.87341744616054,973.0648217533173,1130.6736069393082,freefall
drop1,78,7.8,424.69638991039517,480.017299425079,1011.2021043766508,1142.921189931113,freefall
drop1,79,7.9,426.5543843262837,470.5497587119443,1015.6259890808814,1120.3789754931393,freefall
drop1,80,8.0,426.07206487682004,472.22659785791814,1014.4775864717084,1124.371529499703,freefall
drop1,81,8.1,419.80594754884436,461.67848955814003,999.5579611137983,1099.2564836379313,freefall
drop1,82,8.2,428.4692946505608,471.34433779119934,1020.1853905629852,1122.2708682808454,freefall
drop1,83,8.3,432.9391839259531,471.1996082294721,1030.8281969276943,1121.926267194373,freefall
drop1,84,8.4,426.05286792537345,472.69156084122824,1014.4318785303141,1125.4786063629642,freefall
drop1,85,8.5,429.5067613460945,472.14579602758056,1022.6555987650509,1124.1791403416692,freefall
drop1,86,8.6,415.07746782696535,459.565319415361,988.2994508960044,1094.2250255279744,freefall
drop1,87,8.7,428.78352496326664,471.5252201432344,1020.9335729375377,1122.701549161041,freefall
drop1,88,8.8,451.0701886071458,474.94419575838634,1073.998119073614,1130.8421301007177,freefall
drop1,89,8.9,471.8929341998165,474.6869807883619,1123.577076329763,1130.2297012570896,freefall
drop1,90,9.0,474.44722835910824,476.0621610765214,1129.6588507230367,1133.5040055231973,freefall
drop1,91,9.1,471.2559067237885,477.7520971755471,1122.0603139093403,1137.5277433749775,freefall
drop1,92,9.2,470.44296224537885,478.25892810389064,1120.124693106247,1138.7345078153635,freefall
drop1,93,9.3,456.7818533555638,475.7547950261547,1087.5975928395972,1132.7721669572743,freefall
drop1,94,9.4,474.3225127742711,478.5139908683642,1129.3619029155393,1139.3418122575752,freefall
drop1,95,9.5,457.6711329693168,472.0666201964657,1089.714967599943,1123.9906226877847,freefall
drop1,96,9.6,469.94784683411353,478.8942154332914,1118.9458233120242,1140.2471269466666,freefall
drop1,97,9.7,453.8521699525018,475.0687357668033,1080.6220166569067,1131.1386598607585,freefall
drop1,98,9.8,469.29310575456805,478.96288022686537,1117.3868848016264,1140.4106178201664,freefall
drop1,99,9.9,469.75775840318465,479.90019904123795,1118.4932227579825,1142.6423739171876,freefall
drop1,100,10.0,466.58548870511186,478.91707831492477,1110.9400486068712,1140.3015634678356,freefall
drop1,101,10.1,467.63953356587876,478.7242951228419,1113.4497294203572,1139.8425466874864,freefall
drop1,102,10.2,471.50581649263506,478.3708791572372,1122.655349068964,1139.0010632733818,freefall
drop1,103,10.3,468.633119685329,478.58269309676416,1115.8154579707682,1139.5053922633954,freefall
drop1,104,10.4,471.0475861788948,477.97531365463476,1121.5643026919483,1138.0592218116853,freefall
drop1,105,10.5,473.7883025129125,479.3483019776808,1128.0899482832444,1141.328307008858,freefall
drop1,106,10.6,496.9322805215555,473.65502582099344,1183.1957599218235,1127.7726164797853,freefall
