drop_id,msd_slope_m2_s,msd_intercept_m2,diffusion_m2_s,diffusion_stderr_m2_s,msd_fit_r2,fit_point_count
all,3.649575968352117e-11,3.667054350874265e-11,1.8247879841760584e-11,1.6782298097328104e-13,0.9984798381060574,20
drop1,3.649575968352117e-11,3.667054350874265e-11,1.8247879841760584e-11,1.6782298097328104e-13,0.9984798381060574,20
