lag_s,start_index,sample_t_start_s,sample_t_end_s,pair_t_end_s,n_displacements,n_coordinate_points,x_mean_um,x2_mean_um2,x_variance_um2,D_um2_s,k_B_J_K,relative_error_pct,k_B_slip_corrected_J_K,slip_corrected_relative_error_pct,selection_score
0.5,2389,238.9,338.4,338.9,200,201,0.004049999999999953,19.029712270469,19.029695867969004,19.029712270469,1.4017331715054203e-23,1.527120325688877,1.2428192704756164e-23,-9.982966671788681,0.0157081712325731
1.0,130,13.0,212.0,213.0,200,201,0.1756500000000001,38.153465284725,38.122612362225006,19.0767326423625,1.405196703380357e-23,1.7779829182041917,1.2458901431963176e-23,-9.76054426604318,0.04341574797800165
1.5,36,3.6,302.1,303.6,200,201,0.021200000000000035,57.36729667000001,57.36684723,19.122432223333337,1.408562945479042e-23,2.0217988409104612,1.248874755841846e-23,-9.544369652109552,0.012988945660869316
