particle_id,lag_s,start_index,end_index,sample_t_start_s,sample_t_end_s,pair_t_end_s,n_displacements,n_coordinate_points,x_mean_um,x2_mean_um2,x_variance_um2,D_um2_s,k_B_J_K,relative_error_pct,k_B_slip_corrected_J_K,slip_corrected_relative_error_pct,selection_score
particle2,0.5,1790,2540,179.0,253.5,254.0,150,151,-0.00833333333333331,20.811988026666665,20.81191858222222,20.811988026666665,1.6896364974628026e-23,22.37987333948038,1.5139933205015388e-23,9.65808981874022,0.01708389927782144
particle2,1.0,443,1943,44.3,193.3,194.3,150,151,-0.17412666666666657,40.55246433763067,40.522144241586226,20.276232168815334,1.6461407655800426e-23,19.2294903034763,1.475019110581411e-23,6.83519928536586,0.07045395659642006
particle2,1.5,258,2508,25.8,249.3,250.8,150,151,-0.34359999999999996,58.51896587746666,58.40090491746667,19.506321959155557,1.5836350410743596e-23,14.702219106692544,1.419011058235941e-23,2.778552567375274,0.10902564599816224
