particle_id,lag_s,start_index,end_index,t_start_s,t_pair_end_s,n_displacements,dx_mean_um,dx_std_um,dx_skewness,dx_excess_kurtosis,shapiro_w,shapiro_p,normality_rejected_p_lt_0_05
particle2,0.4999999999999716,1789,2539,178.9,253.9,150,-0.021599999999999966,4.19222610692024,-0.10659191933589447,-0.4082666121247249,0.9870900153273446,0.17814613485870348,False
particle2,0.9999999999999432,227,1727,22.7,172.7,150,-0.31840666666666684,5.920901086416069,-0.44669466957218484,-0.4301015154821273,0.9730301554093244,0.004762200378773135,True
particle2,1.599999999999909,44,2444,4.4,244.4,150,-0.6190000000000001,7.474443877640665,-0.07448797129985207,-0.09437346133453284,0.9894201630583983,0.318751266983836,False
