particle_id,lag_s,lag_step,start_index,end_index,t_start_s,t_end_s,t_pair_end_s,n_displacements,n_coordinate_points,expected_x2_um2,selection_score,normalized_mean,msd_penalty,stationarity_penalty,skewness,excess_kurtosis
particle2,0.5,5,1790,2540,179.0,253.5,254.0,150,151,20.912500596330478,0.01708389927782144,0.0018266778821583963,0.004806339117640031,0.024109289463045365,-0.09218922000684451,-0.21418319423716659
particle2,1.0,10,443,1943,44.3,193.3,194.3,150,151,41.825001192660956,0.07045395659642006,0.027343660979817053,0.030425267632833587,0.16166788323294226,-0.15844555214435918,0.038276000310646374
particle2,1.5,15,258,2508,25.8,249.3,250.8,150,151,62.73750178899144,0.10902564599816224,0.044916388930914194,0.06724105664444861,0.0917452871372928,-0.18979516942123925,0.00844543896354466
