particle_id,analysis_index,source_index,t,x_raw_mm,x_mm,x_m,was_interpolated
particle2,0,0,0.0,0.004762,0.004762,4.7619999999999995e-06,False
particle2,1,1,0.1,0.005873,0.005873,5.8729999999999995e-06,False
particle2,2,2,0.2,0.005255,0.005255,5.2550000000000005e-06,False
particle2,3,3,0.3,0.00475,0.00475,4.75e-06,False
particle2,4,4,0.4,0.006933,0.006933,6.933e-06,False
particle2,5,5,0.5,0.009239,0.009239,9.239e-06,False
particle2,6,6,0.6,0.009033,0.009033,9.033e-06,False
particle2,7,7,0.7,0.008699,0.008699,8.699000000000001e-06,False
particle2,8,8,0.8,0.0118,0.0118,1.18e-05,False
particle2,9,9,0.9,0.01192,0.01192,1.1920000000000001e-05,False
particle2,10,10,1.0,0.01355,0.01355,1.3549999999999999e-05,False
particle2,11,11,1.1,0.01318,0.01318,1.3180000000000001e-05,False
particle2,12,12,1.2,0.01431,0.01431,1.431e-05,False
particle2,13,13,1.3,0.01604,0.01604,1.604e-05,False
particle2,14,14,1.4,0.01564,0.01564,1.5640000000000003e-05,False
particle2,15,15,1.5,0.0176,0.0176,1.76e-05,False
particle2,16,16,1.6,0.01346,0.01346,1.346e-05,False
particle2,17,17,1.7,0.01457,0.01457,1.457e-05,False
particle2,18,18,1.8,0.01716,0.01716,1.7160000000000002e-05,False
particle2,19,19,1.9,0.01619,0.01619,1.619e-05,False
particle2,20,20,2.0,0.01513,0.01513,1.5129999999999999e-05,False
particle2,21,21,2.1,0.01573,0.01573,1.573e-05,False
particle2,22,22,2.2,0.01613,0.01613,1.613e-05,False
particle2,23,23,2.3,0.01533,0.01533,1.533e-05,False
particle2,24,24,2.4,0.01576,0.01576,1.576e-05,False
particle2,25,25,2.5,0.01585,0.01585,1.585e-05,False
particle2,26,26,2.6,0.01651,0.01651,1.651e-05,False
particle2,27,27,2.7,0.01708,0.01708,1.7080000000000002e-05,False
particle2,28,28,2.8,0.01709,0.01709,1.709e-05,False
particle2,29,29,2.9,0.01856,0.01856,1.8560000000000002e-05,False
particle2,30,30,3.0,0.02111,0.02111,2.111e-05,False
particle2,31,31,3.1,0.01765,0.01765,1.765e-05,False
particle2,32,32,3.2,0.01717,0.01717,1.717e-05,False
particle2,33,33,3.3,0.01875,0.01875,1.875e-05,False
particle2,34,34,3.4,0.01759,0.01759,1.7590000000000003e-05,False
particle2,35,35,3.5,0.01993,0.01993,1.993e-05,False
particle2,36,36,3.6,0.01883,0.01883,1.883e-05,False
particle2,37,37,3.7,0.01746,0.01746,1.746e-05,False
particle2,38,38,3.8,0.01683,0.01683,1.6830000000000003e-05,False
particle2,39,39,3.9,0.01614,0.01614,1.614e-05,False
particle2,40,40,4.0,0.0166,0.0166,1.66e-05,False
particle2,41,41,4.1,0.01635,0.01635,1.635e-05,False
particle2,42,42,4.2,0.01672,0.01672,1.672e-05,False
particle2,43,43,4.3,0.01594,0.01594,1.594e-05,False
particle2,44,44,4.4,0.01516,0.01516,1.516e-05,False
particle2,45,45,4.5,0.01503,0.01503,1.503e-05,False
particle2,46,46,4.6,0.01447,0.01447,1.447e-05,False
particle2,47,47,4.7,0.01427,0.01427,1.427e-05,False
particle2,48,48,4.8,0.013,0.013,1.3e-05,False
particle2,49,49,4.9,0.009718,0.009718,9.717999999999999e-06,False
particle2,50,50,5.0,0.007906,0.007906,7.906e-06,False
particle2,51,51,5.1,0.005016,0.005016,5.016e-06,False
particle2,52,52,5.2,0.00699,0.00699,6.99e-06,False
particle2,53,53,5.3,0.005671,0.005671,5.6709999999999996e-06,False
particle2,54,54,5.4,0.004393,0.004393,4.393e-06,False
particle2,55,55,5.5,0.007063,0.007063,7.063e-06,False
particle2,56,56,5.6,0.006118,0.006118,6.1180000000000005e-06,False
