particle_id,lag_s,start_index,end_index,sample_t_start_s,sample_t_end_s,pair_t_end_s,n_displacements,n_coordinate_points,x_mean_um,x2_mean_um2,x_variance_um2,D_um2_s,k_B_J_K,relative_error_pct,k_B_slip_corrected_J_K,slip_corrected_relative_error_pct,selection_score
particle1,0.5,2687,3437,268.7,343.2,343.7,150,151,-0.0031333333333333374,19.08966370995105,19.089653892173278,19.08966370995105,1.4061492089213883e-23,1.8469726137047269,1.2467346635841435e-23,-9.699375903351001,0.016026754061015353
particle1,1.0,290,1790,29.0,178.0,179.0,150,151,0.010333333333333269,38.91454466666667,38.91443788888889,19.457272333333336,1.4332273483174333e-23,3.8082342664524553,1.2707429656876652e-23,-7.960461660591135,0.024368970867094587
particle1,1.5,741,2991,74.1,297.6,299.1,150,151,0.009699999999999924,57.04798201999999,57.04788792999999,19.015994006666663,1.4007226809024153e-23,1.4539307892458724,1.241923338767943e-23,-10.047858741219315,0.017859035197061297
