particle_id,analysis_index,t,y,source_index,y_m,is_valid_freefall
particle1,0,0.0,2.122,0,0.0021219999999999998,False
particle1,1,0.1,2.119,1,0.0021190000000000002,False
particle1,2,0.2,2.117,2,0.002117,False
particle1,3,0.3,2.114,3,0.002114,False
particle1,4,0.4,2.112,4,0.002112,False
particle1,5,0.5,2.112,5,0.002112,False
particle1,6,0.6,2.113,6,0.002113,False
particle1,7,0.8,2.106,8,0.002106,False
particle1,8,0.9,2.105,9,0.002105,False
particle1,9,1.0,2.104,10,0.002104,False
particle1,10,1.1,2.104,11,0.002104,False
particle1,11,1.2,2.108,12,0.002108,False
particle1,12,1.3,2.108,13,0.002108,False
particle1,13,1.4,2.108,14,0.002108,False
particle1,14,1.5,2.106,15,0.002106,False
particle1,15,1.6,2.107,16,0.0021070000000000004,False
particle1,16,1.7,2.105,17,0.002105,False
particle1,17,1.8,2.102,18,0.0021019999999999997,False
particle1,18,1.9,2.104,19,0.002104,False
particle1,19,2.0,2.106,20,0.002106,False
particle1,20,2.1,2.106,21,0.002106,False
particle1,21,2.2,2.103,22,0.0021030000000000003,False
particle1,22,2.3,2.107,23,0.0021070000000000004,False
particle1,23,2.4,2.109,24,0.002109,False
particle1,24,2.5,2.106,25,0.002106,False
particle1,25,2.6,2.107,26,0.0021070000000000004,False
particle1,26,2.7,2.109,27,0.002109,False
particle1,27,2.8,2.107,28,0.0021070000000000004,False
particle1,28,2.9,2.105,29,0.002105,False
particle1,29,3.0,2.101,30,0.002101,False
particle1,30,3.1,2.096,31,0.002096,False
particle1,31,3.2,2.092,32,0.002092,False
particle1,32,3.3,2.088,33,0.002088,False
particle1,33,3.4,2.084,34,0.002084,False
particle1,34,3.5,2.078,35,0.002078,False
particle1,35,3.6,2.071,36,0.0020710000000000004,False
particle1,36,3.7,2.066,37,0.0020659999999999997,False
particle1,37,3.8,2.063,38,0.002063,False
particle1,38,3.9,2.058,39,0.002058,False
particle1,39,4.0,2.053,40,0.002053,False
particle1,40,4.1,2.048,41,0.002048,False
particle1,41,4.2,2.047,42,0.002047,False
particle1,42,4.3,2.04,43,0.00204,False
particle1,43,4.4,2.038,44,0.002038,False
particle1,44,4.5,2.035,45,0.0020350000000000004,False
particle1,45,4.6,2.028,46,0.002028,False
particle1,46,4.7,2.024,47,0.002024,False
particle1,47,4.8,2.02,48,0.00202,False
particle1,48,4.9,2.012,49,0.002012,False
particle1,49,5.0,2.009,50,0.002009,False
particle1,50,5.1,2.004,51,0.002004,False
particle1,51,5.2,1.998,52,0.001998,False
particle1,52,5.3,1.993,53,0.001993,False
particle1,53,5.4,1.987,54,0.001987,False
particle1,54,5.5,1.979,55,0.0019790000000000003,False
