particle_id,analysis_index,source_index,t,x_raw_mm,x_mm,x_m,was_interpolated
particle1,0,0,0.0,0.004249,0.004249,4.249e-06,False
particle1,1,1,0.1,0.004298,0.004298,4.298e-06,False
particle1,2,2,0.2,0.005574,0.005574,5.574e-06,False
particle1,3,3,0.3,0.003976,0.003976,3.9760000000000006e-06,False
particle1,4,4,0.4,-0.001683,-0.001683,-1.683e-06,False
particle1,5,5,0.5,-0.005395,-0.005395,-5.395e-06,False
particle1,6,6,0.6,-0.004127,-0.004127,-4.127e-06,False
particle1,7,7,0.7,-0.002711,-0.002711,-2.711e-06,False
particle1,8,8,0.8,-0.00467,-0.00467,-4.67e-06,False
particle1,9,9,0.9,-0.002829,-0.002829,-2.829e-06,False
particle1,10,10,1.0,-0.004007,-0.004007,-4.007e-06,False
particle1,11,11,1.1,-0.002744,-0.002744,-2.744e-06,False
particle1,12,12,1.2,-0.005562,-0.005562,-5.562e-06,False
particle1,13,13,1.3,-0.009509,-0.009509,-9.509e-06,False
particle1,14,14,1.4,-0.007643,-0.007643,-7.643e-06,False
particle1,15,15,1.5,-0.007798,-0.007798,-7.798e-06,False
particle1,16,16,1.6,-0.009787,-0.009787,-9.787000000000001e-06,False
particle1,17,17,1.7,-0.01233,-0.01233,-1.233e-05,False
particle1,18,18,1.8,-0.01497,-0.01497,-1.497e-05,False
particle1,19,19,1.9,-0.01539,-0.01539,-1.539e-05,False
particle1,20,20,2.0,-0.01557,-0.01557,-1.5570000000000002e-05,False
particle1,21,21,2.1,-0.01561,-0.01561,-1.561e-05,False
particle1,22,22,2.2,-0.01651,-0.01651,-1.651e-05,False
particle1,23,23,2.3,-0.01812,-0.01812,-1.8120000000000003e-05,False
particle1,24,24,2.4,-0.01815,-0.01815,-1.815e-05,False
particle1,25,25,2.5,-0.01759,-0.01759,-1.7590000000000003e-05,False
particle1,26,26,2.6,-0.01871,-0.01871,-1.8710000000000002e-05,False
particle1,27,27,2.7,-0.01854,-0.01854,-1.8540000000000002e-05,False
particle1,28,28,2.8,-0.02016,-0.02016,-2.016e-05,False
particle1,29,29,2.9,-0.02238,-0.02238,-2.2380000000000003e-05,False
particle1,30,30,3.0,-0.02657,-0.02657,-2.657e-05,False
particle1,31,31,3.1,-0.02709,-0.02709,-2.709e-05,False
particle1,32,32,3.2,-0.02776,-0.02776,-2.7760000000000002e-05,False
particle1,33,33,3.3,-0.02715,-0.02715,-2.7150000000000003e-05,False
particle1,34,34,3.4,-0.02296,-0.02296,-2.296e-05,False
particle1,35,35,3.5,-0.0222,-0.0222,-2.22e-05,False
particle1,36,36,3.6,-0.02233,-0.02233,-2.2329999999999998e-05,False
particle1,37,37,3.7,-0.02238,-0.02238,-2.2380000000000003e-05,False
particle1,38,38,3.8,-0.03087,-0.03087,-3.087e-05,False
particle1,39,39,3.9,-0.03154,-0.03154,-3.154e-05,False
particle1,40,40,4.0,-0.03394,-0.03394,-3.394e-05,False
particle1,41,41,4.1,-0.03295,-0.03295,-3.295e-05,False
particle1,42,42,4.2,-0.02924,-0.02924,-2.9239999999999998e-05,False
particle1,43,43,4.3,-0.02746,-0.02746,-2.7459999999999998e-05,False
particle1,44,44,4.4,-0.02762,-0.02762,-2.762e-05,False
particle1,45,45,4.5,-0.02921,-0.02921,-2.921e-05,False
particle1,46,46,4.6,-0.02799,-0.02799,-2.799e-05,False
particle1,47,47,4.7,-0.02539,-0.02539,-2.539e-05,False
particle1,48,48,4.8,-0.02366,-0.02366,-2.366e-05,False
particle1,49,49,4.9,-0.02398,-0.02398,-2.398e-05,False
particle1,50,50,5.0,-0.02653,-0.02653,-2.6530000000000002e-05,False
particle1,51,51,5.1,-0.02474,-0.02474,-2.4740000000000004e-05,False
particle1,52,52,5.2,-0.02336,-0.02336,-2.336e-05,False
particle1,53,53,5.3,-0.02056,-0.02056,-2.056e-05,False
particle1,54,54,5.4,-0.01799,-0.01799,-1.799e-05,False
particle1,55,55,5.5,-0.01882,-0.01882,-1.882e-05,False
particle1,56,56,5.6,-0.02228,-0.02228,-2.228e-05,False
particle1,57,57,5.7,-0.02271,-0.02271,-2.271e-05,False
particle1,58,58,5.8,-0.02159,-0.02159,-2.159e-05,False
particle1,59,59,5.9,-0.02118,-0.02118,-2.118e-05,False
particle1,60,60,6.0,-0.0217,-0.0217,-2.1700000000000002e-05,False
particle1,61,61,6.1,-0.02239,-0.02239,-2.239e-05,False
particle1,62,62,6.2,-0.02479,-0.02479,-2.479e-05,False
particle1,63,63,6.3,-0.02488,-0.02488,-2.488e-05,False
particle1,64,64,6.4,-0.02548,-0.02548,-2.548e-05,False
particle1,65,65,6.5,-0.02557,-0.02557,-2.557e-05,False
particle1,66,66,6.6,-0.02313,-0.02313,-2.313e-05,False
particle1,67,67,6.7,-0.02532,-0.02532,-2.5319999999999998e-05,False
particle1,68,68,6.8,-0.02503,-0.02503,-2.503e-05,False
particle1,69,69,6.9,-0.02173,-0.02173,-2.173e-05,False
particle1,70,70,7.0,-0.02346,-0.02346,-2.3460000000000002e-05,False
particle1,71,71,7.1,-0.02098,-0.02098,-2.098e-05,False
particle1,72,72,7.2,-0.01957,-0.01957,-1.957e-05,False
particle1,73,73,7.3,-0.01871,-0.01871,-1.8710000000000002e-05,False
particle1,74,74,7.4,-0.01816,-0.01816,-1.816e-05,False
particle1,75,75,7.5,-0.01339,-0.01339,-1.339e-05,False
particle1,76,76,7.6,-0.01397,-0.01397,-1.397e-05,False
particle1,77,77,7.7,-0.01392,-0.01392,-1.392e-05,False
particle1,78,78,7.8,-0.01405,-0.01405,-1.4050000000000001e-05,False
particle1,79,79,7.9,-0.01376,-0.01376,-1.376e-05,False
particle1,80,80,8.0,-0.01157,-0.01157,-1.1570000000000001e-05,False
particle1,81,81,8.1,-0.01294,-0.01294,-1.294e-05,False
particle1,82,82,8.2,-0.009123,-0.009123,-9.122999999999999e-06,False
particle1,83,83,8.3,-0.01132,-0.01132,-1.132e-05,False
particle1,84,84,8.4,-0.01021,-0.01021,-1.021e-05,False
particle1,85,85,8.5,-0.01013,-0.01013,-1.013e-05,False
particle1,86,86,8.6,-0.00836,-0.00836,-8.36e-06,False
particle1,87,87,8.7,-0.00847,-0.00847,-8.47e-06,False
particle1,88,88,8.8,-0.007489,-0.007489,-7.489e-06,False
particle1,89,89,8.9,-0.004346,-0.004346,-4.346e-06,False
particle1,90,90,9.0,-0.005483,-0.005483,-5.483e-06,False
particle1,91,91,9.1,-0.002303,-0.002303,-2.303e-06,False
particle1,92,92,9.2,-0.002744,-0.002744,-2.744e-06,False
particle1,93,93,9.3,-0.004711,-0.004711,-4.711e-06,False
particle1,94,94,9.4,-0.00266,-0.00266,-2.66e-06,False
particle1,95,95,9.5,-0.002577,-0.002577,-2.577e-06,False
particle1,96,96,9.6,-0.003904,-0.003904,-3.904e-06,False
particle1,97,97,9.7,-0.005147,-0.005147,-5.147e-06,False
particle1,98,98,9.8,-0.007812,-0.007812,-7.812e-06,False
particle1,99,99,9.9,-0.00135,-0.00135,-1.3500000000000002e-06,False
particle1,100,100,10.0,0.00311,0.00311,3.11e-06,False
particle1,101,101,10.1,0.006439,0.006439,6.4390000000000005e-06,False
particle1,102,102,10.2,0.006179,0.006179,6.179e-06,False
particle1,103,103,10.3,0.009057,0.009057,9.057000000000002e-06,False
particle1,104,104,10.4,0.006307,0.006307,6.307e-06,False
particle1,105,105,10.5,0.007192,0.007192,7.192e-06,False
particle1,106,106,10.6,0.008684,0.008684,8.684e-06,False
particle1,107,107,10.7,0.01024,0.01024,1.024e-05,False
particle1,108,108,10.8,0.01107,0.01107,1.107e-05,False
particle1,109,109,10.9,0.00812,0.00812,8.12e-06,False
particle1,110,110,11.0,0.008091,0.008091,8.091e-06,False
particle1,111,111,11.1,0.00372,0.00372,3.7200000000000004e-06,False
particle1,112,112,11.2,0.001342,0.001342,1.342e-06,False
particle1,113,113,11.3,-0.0008726,-0.0008726,-8.726e-07,False
particle1,114,114,11.4,0.001989,0.001989,1.989e-06,False
particle1,115,115,11.5,-0.001039,-0.001039,-1.039e-06,False
particle1,116,116,11.6,-0.001596,-0.001596,-1.596e-06,False
particle1,117,117,11.7,-0.0008719,-0.0008719,-8.719e-07,False
particle1,118,118,11.8,0.003118,0.003118,3.118e-06,False
particle1,119,119,11.9,0.004743,0.004743,4.743e-06,False
particle1,120,120,12.0,0.006246,0.006246,6.246e-06,False
particle1,121,121,12.1,0.009677,0.009677,9.677e-06,False
particle1,122,122,12.2,0.01264,0.01264,1.2640000000000001e-05,False
particle1,123,123,12.3,0.01235,0.01235,1.235e-05,False
particle1,124,124,12.4,0.01668,0.01668,1.668e-05,False
particle1,125,125,12.5,0.01823,0.01823,1.823e-05,False
particle1,126,126,12.6,0.01967,0.01967,1.967e-05,False
particle1,127,127,12.7,0.01856,0.01856,1.8560000000000002e-05,False
particle1,128,128,12.8,0.01721,0.01721,1.721e-05,False
particle1,129,129,12.9,0.01606,0.01606,1.6060000000000002e-05,False
particle1,130,130,13.0,0.01851,0.01851,1.851e-05,False
particle1,131,131,13.1,0.02278,0.02278,2.2780000000000002e-05,False
particle1,132,132,13.2,0.02339,0.02339,2.339e-05,False
particle1,133,133,13.3,0.02418,0.02418,2.4180000000000002e-05,False
particle1,134,134,13.4,0.02301,0.02301,2.3009999999999998e-05,False
particle1,135,135,13.5,0.02318,0.02318,2.3179999999999998e-05,False
particle1,136,136,13.6,0.02203,0.02203,2.203e-05,False
particle1,137,137,13.7,0.02225,0.02225,2.225e-05,False
particle1,138,138,13.8,0.01769,0.01769,1.7690000000000002e-05,False
particle1,139,139,13.9,0.01844,0.01844,1.8440000000000003e-05,False
particle1,140,140,14.0,0.01787,0.01787,1.787e-05,False
particle1,141,141,14.1,0.01743,0.01743,1.743e-05,False
particle1,142,142,14.2,0.01812,0.01812,1.8120000000000003e-05,False
particle1,143,143,14.3,0.01659,0.01659,1.6590000000000002e-05,False
particle1,144,144,14.4,0.01551,0.01551,1.551e-05,False
particle1,145,145,14.5,0.01327,0.01327,1.327e-05,False
particle1,146,146,14.6,0.01351,0.01351,1.351e-05,False
particle1,147,147,14.7,0.009116,0.009116,9.116e-06,False
particle1,148,148,14.8,0.01149,0.01149,1.149e-05,False
particle1,149,149,14.9,0.01163,0.01163,1.163e-05,False
particle1,150,150,15.0,0.01155,0.01155,1.155e-05,False
particle1,151,151,15.1,0.01231,0.01231,1.231e-05,False
particle1,152,152,15.2,0.009381,0.009381,9.381e-06,False
particle1,153,153,15.3,0.01035,0.01035,1.0350000000000001e-05,False
particle1,154,154,15.4,0.009073,0.009073,9.073e-06,False
particle1,155,155,15.5,0.01193,0.01193,1.193e-05,False
particle1,156,156,15.6,0.01237,0.01237,1.2370000000000002e-05,False
particle1,157,157,15.7,0.01207,0.01207,1.2070000000000001e-05,False
particle1,158,158,15.8,0.008979,0.008979,8.979e-06,False
particle1,159,159,15.9,0.01115,0.01115,1.115e-05,False
particle1,160,160,16.0,0.01303,0.01303,1.303e-05,False
particle1,161,161,16.1,0.01396,0.01396,1.396e-05,False
particle1,162,162,16.2,0.01159,0.01159,1.1589999999999999e-05,False
particle1,163,163,16.3,0.01072,0.01072,1.072e-05,False
particle1,164,164,16.4,0.01323,0.01323,1.323e-05,False
particle1,165,165,16.5,0.01263,0.01263,1.2630000000000001e-05,False
particle1,166,166,16.6,0.01537,0.01537,1.537e-05,False
particle1,167,167,16.7,0.0159,0.0159,1.59e-05,False
particle1,168,168,16.8,0.01579,0.01579,1.579e-05,False
particle1,169,169,16.9,0.01387,0.01387,1.3870000000000001e-05,False
particle1,170,170,17.0,0.0107,0.0107,1.07e-05,False
particle1,171,171,17.1,0.008307,0.008307,8.307e-06,False
particle1,172,172,17.2,0.006555,0.006555,6.555e-06,False
particle1,173,173,17.3,0.004686,0.004686,4.6860000000000005e-06,False
particle1,174,174,17.4,0.005273,0.005273,5.273e-06,False
particle1,175,175,17.5,0.003451,0.003451,3.451e-06,False
particle1,176,176,17.6,0.006264,0.006264,6.264e-06,False
particle1,177,177,17.7,0.00307,0.00307,3.07e-06,False
particle1,178,178,17.8,0.003831,0.003831,3.831e-06,False
particle1,179,179,17.9,0.005055,0.005055,5.055e-06,False
particle1,180,180,18.0,0.005544,0.005544,5.544000000000001e-06,False
particle1,181,181,18.1,0.008947,0.008947,8.947000000000001e-06,False
particle1,182,182,18.2,0.01142,0.01142,1.1419999999999999e-05,False
particle1,183,183,18.3,0.01039,0.01039,1.039e-05,False
particle1,184,184,18.4,0.009951,0.009951,9.951e-06,False
particle1,185,185,18.5,0.01264,0.01264,1.2640000000000001e-05,False
particle1,186,186,18.6,0.01443,0.01443,1.443e-05,False
particle1,187,187,18.7,0.01128,0.01128,1.128e-05,False
particle1,188,188,18.8,0.01089,0.01089,1.089e-05,False
particle1,189,189,18.9,0.01108,0.01108,1.108e-05,False
particle1,190,190,19.0,0.0115,0.0115,1.15e-05,False
particle1,191,191,19.1,0.01139,0.01139,1.1390000000000001e-05,False
particle1,192,192,19.2,0.01189,0.01189,1.189e-05,False
particle1,193,193,19.3,0.008175,0.008175,8.175e-06,False
particle1,194,194,19.4,0.01024,0.01024,1.024e-05,False
particle1,195,195,19.5,0.01115,0.01115,1.115e-05,False
particle1,196,196,19.6,0.01168,0.01168,1.168e-05,False
particle1,197,197,19.7,0.01438,0.01438,1.4380000000000001e-05,False
particle1,198,198,19.8,0.01695,0.01695,1.695e-05,False
particle1,199,199,19.9,0.01837,0.01837,1.8370000000000002e-05,False
particle1,200,200,20.0,0.01944,0.01944,1.944e-05,False
particle1,201,201,20.1,0.01948,0.01948,1.948e-05,False
particle1,202,202,20.2,0.01761,0.01761,1.7610000000000002e-05,False
particle1,203,203,20.3,0.01695,0.01695,1.695e-05,False
particle1,204,204,20.4,0.01438,0.01438,1.4380000000000001e-05,False
particle1,205,205,20.5,0.01515,0.01515,1.515e-05,False
particle1,206,206,20.6,0.0172,0.0172,1.72e-05,False
particle1,207,207,20.7,0.01667,0.01667,1.667e-05,False
particle1,208,208,20.8,,0.01451175,1.451175e-05,True
particle1,209,209,20.9,,0.0123535,1.23535e-05,True
particle1,210,210,21.0,,0.010195250000000001,1.0195250000000002e-05,True
particle1,211,211,21.1,0.008037,0.008037,8.037000000000001e-06,False
particle1,212,212,21.2,,0.0064473333333333336,6.4473333333333335e-06,True
particle1,213,213,21.3,,0.004857666666666666,4.857666666666667e-06,True
particle1,214,214,21.4,0.003268,0.003268,3.2680000000000003e-06,False
particle1,215,215,21.5,0.002716,0.002716,2.7160000000000003e-06,False
particle1,216,216,21.6,0.003436,0.003436,3.436e-06,False
particle1,217,217,21.7,0.0007934,0.0007934,7.934e-07,False
particle1,218,218,21.8,0.002684,0.002684,2.684e-06,False
particle1,219,219,21.9,,0.0041365,4.1365e-06,True
particle1,220,220,22.0,0.005589,0.005589,5.589e-06,False
particle1,221,221,22.1,,0.0058812000000000005,5.8812000000000005e-06,True
particle1,222,222,22.2,,0.0061734,6.1734e-06,True
particle1,223,223,22.3,,0.0064656,6.4656e-06,True
particle1,224,224,22.4,,0.0067578,6.7578e-06,True
particle1,225,225,22.5,0.00705,0.00705,7.05e-06,False
particle1,226,226,22.6,0.005653,0.005653,5.653e-06,False
particle1,227,227,22.7,0.007589,0.007589,7.5890000000000005e-06,False
particle1,228,228,22.8,0.005653,0.005653,5.653e-06,False
particle1,229,229,22.9,0.005201,0.005201,5.201e-06,False
particle1,230,230,23.0,,0.0045734999999999994,4.5734999999999995e-06,True
particle1,231,231,23.1,0.003946,0.003946,3.946e-06,False
particle1,232,232,23.2,0.004819,0.004819,4.819000000000001e-06,False
particle1,233,233,23.3,0.005962,0.005962,5.962000000000001e-06,False
particle1,234,234,23.4,0.00376,0.00376,3.76e-06,False
particle1,235,235,23.5,0.006018,0.006018,6.018e-06,False
particle1,236,236,23.6,0.004384,0.004384,4.384e-06,False
particle1,237,237,23.7,-0.0004217,-0.0004217,-4.217e-07,False
particle1,238,238,23.8,-0.002753,-0.002753,-2.7529999999999997e-06,False
particle1,239,239,23.9,-0.003475,-0.003475,-3.4749999999999998e-06,False
particle1,240,240,24.0,-0.003523,-0.003523,-3.523e-06,False
particle1,241,241,24.1,-0.007245,-0.007245,-7.245e-06,False
particle1,242,242,24.2,-0.006654,-0.006654,-6.654e-06,False
particle1,243,243,24.3,-0.005963,-0.005963,-5.963e-06,False
particle1,244,244,24.4,-0.00457,-0.00457,-4.57e-06,False
particle1,245,245,24.5,-0.007309,-0.007309,-7.309000000000001e-06,False
particle1,246,246,24.6,-0.004566,-0.004566,-4.566e-06,False
particle1,247,247,24.7,-0.006734,-0.006734,-6.734e-06,False
particle1,248,248,24.8,-0.007796,-0.007796,-7.796e-06,False
particle1,249,249,24.9,-0.01407,-0.01407,-1.4069999999999999e-05,False
particle1,250,250,25.0,-0.01216,-0.01216,-1.216e-05,False
particle1,251,251,25.1,-0.01294,-0.01294,-1.294e-05,False
particle1,252,252,25.2,-0.0146,-0.0146,-1.46e-05,False
particle1,253,253,25.3,-0.01505,-0.01505,-1.505e-05,False
particle1,254,254,25.4,-0.01328,-0.01328,-1.328e-05,False
particle1,255,255,25.5,-0.01403,-0.01403,-1.4030000000000001e-05,False
particle1,256,256,25.6,-0.0188,-0.0188,-1.88e-05,False
particle1,257,257,25.7,-0.01638,-0.01638,-1.638e-05,False
particle1,258,258,25.8,-0.01503,-0.01503,-1.503e-05,False
particle1,259,259,25.9,-0.01782,-0.01782,-1.782e-05,False
particle1,260,260,26.0,-0.0191,-0.0191,-1.91e-05,False
particle1,261,261,26.1,-0.0175,-0.0175,-1.7500000000000002e-05,False
particle1,262,262,26.2,-0.009824,-0.009824,-9.824e-06,False
particle1,263,263,26.3,-0.008528,-0.008528,-8.528e-06,False
particle1,264,264,26.4,-0.01145,-0.01145,-1.145e-05,False
particle1,265,265,26.5,-0.009479,-0.009479,-9.479e-06,False
particle1,266,266,26.6,-0.009901,-0.009901,-9.901e-06,False
particle1,267,267,26.7,-0.01005,-0.01005,-1.005e-05,False
particle1,268,268,26.8,-0.01137,-0.01137,-1.137e-05,False
particle1,269,269,26.9,-0.01713,-0.01713,-1.713e-05,False
particle1,270,270,27.0,-0.01998,-0.01998,-1.9980000000000002e-05,False
particle1,271,271,27.1,-0.02265,-0.02265,-2.265e-05,False
particle1,272,272,27.2,-0.02473,-0.02473,-2.473e-05,False
particle1,273,273,27.3,-0.027,-0.027,-2.7e-05,False
particle1,274,274,27.4,-0.03028,-0.03028,-3.028e-05,False
particle1,275,275,27.5,-0.03006,-0.03006,-3.006e-05,False
particle1,276,276,27.6,-0.03076,-0.03076,-3.076e-05,False
particle1,277,277,27.7,-0.02562,-0.02562,-2.5620000000000002e-05,False
particle1,278,278,27.8,-0.02772,-0.02772,-2.7720000000000002e-05,False
particle1,279,279,27.9,-0.02931,-0.02931,-2.931e-05,False
particle1,280,280,28.0,-0.03081,-0.03081,-3.081e-05,False
particle1,281,281,28.1,-0.03055,-0.03055,-3.0550000000000004e-05,False
particle1,282,282,28.2,-0.02855,-0.02855,-2.855e-05,False
particle1,283,283,28.3,-0.02734,-0.02734,-2.734e-05,False
particle1,284,284,28.4,-0.02815,-0.02815,-2.8150000000000003e-05,False
particle1,285,285,28.5,-0.02781,-0.02781,-2.7810000000000003e-05,False
particle1,286,286,28.6,-0.03158,-0.03158,-3.158e-05,False
particle1,287,287,28.7,-0.0299,-0.0299,-2.9900000000000002e-05,False
particle1,288,288,28.8,-0.03001,-0.03001,-3.001e-05,False
particle1,289,289,28.9,-0.02856,-0.02856,-2.8559999999999998e-05,False
particle1,290,290,29.0,-0.0282,-0.0282,-2.82e-05,False
particle1,291,291,29.1,-0.02602,-0.02602,-2.602e-05,False
particle1,292,292,29.2,-0.02684,-0.02684,-2.684e-05,False
particle1,293,293,29.3,-0.03035,-0.03035,-3.035e-05,False
particle1,294,294,29.4,-0.02908,-0.02908,-2.9080000000000003e-05,False
particle1,295,295,29.5,-0.03422,-0.03422,-3.422e-05,False
particle1,296,296,29.6,-0.03255,-0.03255,-3.2550000000000005e-05,False
particle1,297,297,29.7,-0.02961,-0.02961,-2.9610000000000003e-05,False
particle1,298,298,29.8,-0.03203,-0.03203,-3.203e-05,False
particle1,299,299,29.9,-0.02998,-0.02998,-2.998e-05,False
particle1,300,300,30.0,-0.03212,-0.03212,-3.2120000000000004e-05,False
particle1,301,301,30.1,-0.02855,-0.02855,-2.855e-05,False
particle1,302,302,30.2,-0.02978,-0.02978,-2.9780000000000003e-05,False
particle1,303,303,30.3,-0.03237,-0.03237,-3.2370000000000003e-05,False
particle1,304,304,30.4,-0.03029,-0.03029,-3.0290000000000003e-05,False
particle1,305,305,30.5,-0.03173,-0.03173,-3.173e-05,False
particle1,306,306,30.6,-0.02816,-0.02816,-2.816e-05,False
particle1,307,307,30.7,-0.02892,-0.02892,-2.892e-05,False
particle1,308,308,30.8,-0.02746,-0.02746,-2.7459999999999998e-05,False
particle1,309,309,30.9,-0.02715,-0.02715,-2.7150000000000003e-05,False
particle1,310,310,31.0,-0.02728,-0.02728,-2.728e-05,False
particle1,311,311,31.1,-0.02467,-0.02467,-2.4670000000000003e-05,False
particle1,312,312,31.2,-0.02554,-0.02554,-2.554e-05,False
particle1,313,313,31.3,-0.02352,-0.02352,-2.352e-05,False
particle1,314,314,31.4,-0.02271,-0.02271,-2.271e-05,False
particle1,315,315,31.5,-0.02291,-0.02291,-2.291e-05,False
particle1,316,316,31.6,-0.01996,-0.01996,-1.996e-05,False
particle1,317,317,31.7,-0.02074,-0.02074,-2.074e-05,False
particle1,318,318,31.8,-0.02138,-0.02138,-2.138e-05,False
particle1,319,319,31.9,-0.02277,-0.02277,-2.277e-05,False
particle1,320,320,32.0,-0.02384,-0.02384,-2.3840000000000002e-05,False
particle1,321,321,32.1,-0.02759,-0.02759,-2.7590000000000002e-05,False
particle1,322,322,32.2,-0.03105,-0.03105,-3.105e-05,False
particle1,323,323,32.3,-0.03032,-0.03032,-3.032e-05,False
particle1,324,324,32.4,-0.03135,-0.03135,-3.135e-05,False
particle1,325,325,32.5,-0.03563,-0.03563,-3.563e-05,False
particle1,326,326,32.6,-0.0339,-0.0339,-3.39e-05,False
particle1,327,327,32.7,-0.03244,-0.03244,-3.2439999999999994e-05,False
particle1,328,328,32.8,-0.0293,-0.0293,-2.93e-05,False
particle1,329,329,32.9,-0.03053,-0.03053,-3.053e-05,False
particle1,330,330,33.0,-0.03037,-0.03037,-3.0370000000000002e-05,False
particle1,331,331,33.1,-0.02743,-0.02743,-2.743e-05,False
particle1,332,332,33.2,-0.02556,-0.02556,-2.556e-05,False
particle1,333,333,33.3,-0.02915,-0.02915,-2.915e-05,False
particle1,334,334,33.4,-0.0351,-0.0351,-3.51e-05,False
particle1,335,335,33.5,-0.03305,-0.03305,-3.3050000000000004e-05,False
particle1,336,336,33.6,-0.0336,-0.0336,-3.36e-05,False
particle1,337,337,33.7,-0.03306,-0.03306,-3.306e-05,False
particle1,338,338,33.8,-0.0313,-0.0313,-3.13e-05,False
particle1,339,339,33.9,-0.03096,-0.03096,-3.096e-05,False
particle1,340,340,34.0,-0.03077,-0.03077,-3.077e-05,False
particle1,341,341,34.1,-0.02833,-0.02833,-2.833e-05,False
particle1,342,342,34.2,-0.02591,-0.02591,-2.591e-05,False
particle1,343,343,34.3,-0.02735,-0.02735,-2.735e-05,False
particle1,344,344,34.4,-0.02761,-0.02761,-2.7609999999999998e-05,False
particle1,345,345,34.5,-0.03086,-0.03086,-3.086e-05,False
particle1,346,346,34.6,-0.03033,-0.03033,-3.033e-05,False
particle1,347,347,34.7,-0.03283,-0.03283,-3.2829999999999996e-05,False
particle1,348,348,34.8,-0.03239,-0.03239,-3.239e-05,False
particle1,349,349,34.9,-0.02828,-0.02828,-2.828e-05,False
