particle_id,lag_s,lag_step,start_index,end_index,t_start_s,t_end_s,t_pair_end_s,n_displacements,n_coordinate_points,expected_x2_um2,selection_score,normalized_mean,msd_penalty,stationarity_penalty,skewness,excess_kurtosis,selection_strategy,selection_objective,target_abs_error_pct,candidate_rank,lag_candidates_evaluated
particle1,0.49999999999998934,5,4040,4790,404.0,478.5,479.0,150,151,19.034455612219716,0.06205132582191513,0.02105038399304437,0.011071671187958253,0.32994228457556457,-0.12293320223687938,0.02834916477643379,target_kb,0.004439096781310208,2.996181416476909,1,3
particle1,0.9999999999999787,10,490,1990,49.0,198.0,199.0,150,151,38.06891122443943,0.1121819892738277,0.08437009512993639,0.01118479376825155,0.08034721318042397,0.10314073880401682,-0.3359089804592199,target_kb,0.008826844570937834,3.0077050246781996,2,3
particle1,1.599999999999966,16,1841,4241,184.1,422.5,424.1,150,151,60.9102579591031,0.028786323260034493,0.008979638656905417,0.011018950227084514,0.004901334991424807,0.09610931804568758,-0.27583386970286217,target_kb,0.00947704293135056,2.99081082030125,3,3
