particle_id,lag_s,sample_number,analysis_start_index,analysis_end_index,source_start_index,source_end_index,t_start_s,t_end_s,x_start_um,x_end_um,dx_um,dx2_um2
particle1,0.5,1,2687,2692,2687,2692,268.7,269.2,43.53,46.440000000000005,2.910000000000004,8.468100000000025
particle1,0.5,2,2692,2697,2692,2697,269.2,269.7,46.440000000000005,45.5,-0.9400000000000012,0.8836000000000022
particle1,0.5,3,2697,2702,2697,2702,269.7,270.2,45.5,45.85,0.35000000000000175,0.12250000000000123
particle1,0.5,4,2702,2707,2702,2707,270.2,270.7,45.85,46.79,0.9399999999999944,0.8835999999999895
particle1,0.5,5,2707,2712,2707,2712,270.7,271.2,46.79,44.55,-2.239999999999999,5.017599999999995
particle1,0.5,6,2712,2717,2712,2717,271.2,271.7,44.55,44.949999999999996,0.3999999999999962,0.15999999999999695
particle1,0.5,7,2717,2722,2717,2722,271.7,272.2,44.949999999999996,48.89,3.940000000000006,15.523600000000048
particle1,0.5,8,2722,2727,2722,2727,272.2,272.7,48.89,48.32000000000001,-0.5699999999999963,0.32489999999999575
particle1,0.5,9,2727,2732,2727,2732,272.7,273.2,48.32000000000001,47.559999999999995,-0.7600000000000062,0.5776000000000094
particle1,0.5,10,2732,2737,2732,2737,273.2,273.7,47.559999999999995,48.16,0.600000000000001,0.36000000000000115
particle1,0.5,11,2737,2742,2737,2742,273.7,274.2,48.16,53.79,5.629999999999999,31.69689999999999
particle1,0.5,12,2742,2747,2742,2747,274.2,274.7,53.79,56.69,2.9000000000000026,8.410000000000014
particle1,0.5,13,2747,2752,2747,2752,274.7,275.2,56.69,53.940000000000005,-2.749999999999999,7.562499999999996
particle1,0.5,14,2752,2757,2752,2757,275.2,275.7,53.940000000000005,58.150000000000006,4.210000000000002,17.724100000000014
particle1,0.5,15,2757,2762,2757,2762,275.7,276.2,58.150000000000006,53.52,-4.630000000000002,21.436900000000016
particle1,0.5,16,2762,2767,2762,2767,276.2,276.7,53.52,45.84,-7.680000000000001,58.98240000000001
particle1,0.5,17,2767,2772,2767,2772,276.7,277.2,45.84,44.71,-1.1299999999999977,1.2768999999999948
particle1,0.5,18,2772,2777,2772,2777,277.2,277.7,44.71,45.14,0.42999999999999416,0.18489999999999499
particle1,0.5,19,2777,2782,2777,2782,277.7,278.2,45.14,47.96,2.8200000000000034,7.9524000000000195
particle1,0.5,20,2782,2787,2782,2787,278.2,278.7,47.96,53.63,5.669999999999998,32.148899999999976
particle1,0.5,21,2787,2792,2787,2792,278.7,279.2,53.63,50.800000000000004,-2.8299999999999983,8.00889999999999
particle1,0.5,22,2792,2797,2792,2797,279.2,279.7,50.800000000000004,48.62,-2.180000000000003,4.752400000000012
particle1,0.5,23,2797,2802,2797,2802,279.7,280.2,48.62,42.79,-5.8299999999999965,33.98889999999996
particle1,0.5,24,2802,2807,2802,2807,280.2,280.7,42.79,50.38999999999999,7.599999999999995,57.75999999999993
particle1,0.5,25,2807,2812,2807,2812,280.7,281.2,50.38999999999999,43.52,-6.869999999999994,47.196899999999914
particle1,0.5,26,2812,2817,2812,2817,281.2,281.7,43.52,39.730000000000004,-3.7900000000000027,14.36410000000002
particle1,0.5,27,2817,2822,2817,2822,281.7,282.2,39.730000000000004,28.98,-10.75,115.5625
particle1,0.5,28,2822,2827,2822,2827,282.2,282.7,28.98,22.630000000000003,-6.349999999999999,40.322499999999984
particle1,0.5,29,2827,2832,2827,2832,282.7,283.2,22.630000000000003,24.67,2.040000000000001,4.1616000000000035
particle1,0.5,30,2832,2837,2832,2837,283.2,283.7,24.67,23.630000000000003,-1.0400000000000003,1.0816000000000006
particle1,0.5,31,2837,2842,2837,2842,283.7,284.2,23.630000000000003,25.83,2.1999999999999957,4.839999999999981
particle1,0.5,32,2842,2847,2842,2847,284.2,284.7,25.83,24.87,-0.9599999999999976,0.9215999999999954
particle1,0.5,33,2847,2852,2847,2852,284.7,285.2,24.87,22.46,-2.409999999999999,5.808099999999994
particle1,0.5,34,2852,2857,2852,2857,285.2,285.7,22.46,30.91,8.45,71.40249999999999
particle1,0.5,35,2857,2862,2857,2862,285.7,286.2,30.91,28.34,-2.5700000000000007,6.604900000000003
particle1,0.5,36,2862,2867,2862,2867,286.2,286.7,28.34,20.599999999999998,-7.74,59.9076
particle1,0.5,37,2867,2872,2867,2872,286.7,287.2,20.599999999999998,22.62,2.020000000000001,4.080400000000004
particle1,0.5,38,2872,2877,2872,2877,287.2,287.7,22.62,25.01,2.3900000000000023,5.712100000000011
particle1,0.5,39,2877,2882,2877,2882,287.7,288.2,25.01,18.89,-6.120000000000003,37.454400000000035
particle1,0.5,40,2882,2887,2882,2887,288.2,288.7,18.89,19.1,0.2099999999999997,0.04409999999999987
particle1,0.5,41,2887,2892,2887,2892,288.7,289.2,19.1,19.580000000000002,0.4800000000000022,0.2304000000000021
particle1,0.5,42,2892,2897,2892,2897,289.2,289.7,19.580000000000002,10.350000000000001,-9.230000000000002,85.19290000000004
particle1,0.5,43,2897,2902,2897,2902,289.7,290.2,10.350000000000001,8.343,-2.0070000000000014,4.0280490000000055
particle1,0.5,44,2902,2907,2902,2907,290.2,290.7,8.343,1.735,-6.608,43.66566399999999
particle1,0.5,45,2907,2912,2907,2912,290.7,291.2,1.735,-2.993,-4.728000000000001,22.353984000000008
particle1,0.5,46,2912,2917,2912,2917,291.2,291.7,-2.993,-5.179,-2.186,4.778595999999999
particle1,0.5,47,2917,2922,2917,2922,291.7,292.2,-5.179,-4.194,0.9849999999999999,0.9702249999999998
particle1,0.5,48,2922,2927,2922,2927,292.2,292.7,-4.194,-1.576,2.6180000000000003,6.853924000000002
particle1,0.5,49,2927,2932,2927,2932,292.7,293.2,-1.576,3.202,4.778,22.829283999999998
particle1,0.5,50,2932,2937,2932,2937,293.2,293.7,3.202,-1.3860000000000001,-4.588,21.049744
particle1,0.5,51,2937,2942,2937,2942,293.7,294.2,-1.3860000000000001,-7.853000000000001,-6.4670000000000005,41.822089000000005
