particle_id,lag_s,start_index,end_index,t_start_s,t_pair_end_s,n_displacements,dx_mean_um,dx_std_um,dx_skewness,dx_excess_kurtosis,shapiro_w,shapiro_p,normality_rejected_p_lt_0_05
particle5,0.5000000000000071,2850,3600,285.0,360.0,150,-0.10987333333333335,4.395098899022774,-0.2885711145069016,0.05498767107363145,0.9886269035191074,0.26268063133625097,False
particle5,1.0000000000000142,4090,5590,409.0,559.0,150,-0.8043999999999998,6.164864883641576,0.2515150786885599,0.319836846272771,0.9891595744336878,0.29932041806612275,False
particle5,1.6000000000000227,1121,3521,112.1,352.1,150,-0.19998000000000002,7.86268233428634,-0.1650518422276689,-0.34755337173237466,0.9930625883385583,0.6863575563188615,False
