drop_id,frame,time_s,x_px,y_px,x_um,y_um,source_video,x_drift_um,x_dedrift_um
drop1,0,0.0,1123.6059551036462,86.78567162439728,2675.3057791017814,206.6366841376899,brownian,-0.0,2675.3057791017814
drop1,1,0.1,1124.127142310364,87.29132585798732,2676.5467258409763,207.84064686786778,brownian,-0.00027712331015689685,2676.5470029642865
drop1,2,0.2,1124.0327130346918,87.2679914673852,2676.321889735601,207.78508768384415,brownian,-0.0005542466203137937,2676.322443982221
drop1,3,0.3,1124.066980423288,87.07965354464653,2676.4034803878485,207.33665508980337,brownian,-0.0008313699304706904,2676.404311757779
drop1,4,0.4,1123.3017595121642,87.58593660674586,2674.5814893984625,208.54211506066187,brownian,-0.0011084932406275874,2674.5825978917032
drop1,5,0.5,1125.8702054934708,94.2212738957796,2680.6969592799537,224.3408531458512,brownian,-0.001385616550784484,2680.6983448965043
drop1,6,0.6,1146.9214455779631,86.93156840794059,2730.81996192113,206.98406437930652,brownian,-0.0016627398609413808,2730.821624660991
drop1,7,0.7,1123.440255993439,87.89867170452382,2674.911249520378,209.2867373284712,brownian,-0.0019398631710982777,2674.9131893835493
drop1,8,0.8,1123.9532754825957,87.04844882452721,2676.1327489240603,207.26235665119927,brownian,-0.002216986481255175,2676.1349659105417
drop1,9,0.9,1123.9599810323025,87.14090700080469,2676.148714837912,207.48249956891596,brownian,-0.0024941097914120713,2676.1512089477033
drop1,10,1.0,1129.8872445871864,89.99599922476327,2690.2615293620906,214.2804741541613,brownian,-0.002771233101568968,2690.2643005951923
drop1,11,1.1,1125.9361364498293,95.08252659733728,2680.8539408870433,226.39149582826005,brownian,-0.003048356411725865,2680.8569892434552
drop1,12,1.2,1123.1956702119635,87.7362399738503,2674.3288907746846,208.89998737773755,brownian,-0.0033254797218827616,2674.3322162544064
drop1,13,1.3,1126.7808184377127,94.79680307295213,2682.8651287001935,225.711188116699,brownian,-0.003602603032039659,2682.8687313032256
drop1,14,1.4,1125.976231357438,94.99178429532614,2680.9494068620597,226.17543840717153,brownian,-0.0038797263421965554,2680.953286588402
drop1,15,1.5,1125.921952001282,95.03783204455307,2680.8201677150523,226.28507809808085,brownian,-0.004156849652353452,2680.8243245647045
drop1,16,1.6,1125.0154480719093,94.72876376512704,2678.661781859216,225.54918652476746,brownian,-0.00443397296251035,2678.6662158321783
drop1,17,1.7,1139.3067171867087,88.75118297218488,2712.689293621553,211.31656665677218,brownian,-0.004711096272667246,2712.694004717826
drop1,18,1.8,1138.1781171800847,89.67365605315385,2710.0020970057813,213.5129750625593,brownian,-0.004988219582824143,2710.007085225364
drop1,19,1.9,1139.3642844053509,87.8852299798424,2712.82636116914,209.25473258200475,brownian,-0.005265342892981039,2712.831626512033
drop1,20,2.0,1123.2618485183746,87.0011811141345,2674.4864613222494,207.14981223275421,brownian,-0.005542466203137936,2674.4920037884526
drop1,21,2.1,1124.0966595792302,87.23776018352731,2676.4741464581466,207.71310699697852,brownian,-0.005819589513294834,2676.47996604766
drop1,22,2.2,1123.9340845227944,87.03801149152116,2676.087055248773,207.23750536131186,brownian,-0.00609671282345173,2676.0931519615965
drop1,23,2.3,1123.970197375799,87.1607463272401,2676.1730399517774,207.52973700515867,brownian,-0.006373836133608627,2676.179413787911
drop1,24,2.4,1123.851744751842,87.01932434311135,2675.8910042541356,207.1930112609481,brownian,-0.006650959443765523,2675.8976552135796
drop1,25,2.5,1123.9616641406064,87.30938442927263,2676.1527223187836,207.8836443260981,brownian,-0.0069280827539224205,2676.1596504015374
drop1,26,2.6,1123.858153680639,87.0367994924208,2675.906263913601,207.2346195914539,brownian,-0.007205206064079318,2675.913469119665
drop1,27,2.7,1123.9600201720225,87.1974336704676,2676.1488080295853,207.61708956938335,brownian,-0.007482329374236214,2676.1562903589597
drop1,28,2.8,1123.902955885229,87.2308831335736,2676.0129379627297,207.69673274103872,brownian,-0.007759452684393111,2676.020697415414
drop1,29,2.9,1124.1902664238214,87.12445818684965,2676.6970243551186,207.443334942889,brownian,-0.008036575994550007,2676.705060931113
drop1,30,3.0,1138.2177766170453,89.11533037346567,2710.0965261251845,212.18360161922175,brownian,-0.008313699304706905,2710.1048398244893
drop1,31,3.1,1126.5133276010317,91.55885291998791,2682.2282330180565,218.0016288024912,brownian,-0.008590822614863802,2682.236823840671
drop1,32,3.2,1140.2942591353658,90.27111408455191,2715.040631001306,214.93552263531808,brownian,-0.0088679459250207,2715.049498947231
drop1,33,3.3,1138.8140712576617,90.66241109180898,2711.516303664492,215.86720080959716,brownian,-0.009145069235177595,2711.5254487337274
drop1,34,3.4,1123.360447362868,87.81752957386328,2674.7212251709884,209.09353791536844,brownian,-0.009422192545334492,2674.7306473635335
drop1,35,3.5,1147.5037110648739,86.90467687338902,2732.2063360454645,206.92003563553925,brownian,-0.00969931585549139,2732.21603536132
drop1,36,3.6,1125.8939497901194,94.50947489505974,2680.753494450274,225.0270597251372,brownian,-0.009976439165648285,2680.7634708894398
drop1,37,3.7,1125.846556005751,94.58099996983803,2680.6406498496926,225.19736092818434,brownian,-0.010253562475805182,2680.6509034121686
drop1,38,3.8,1138.7943885688246,90.7593984962406,2711.4694391823714,216.09812781954886,brownian,-0.010530685785962078,2711.4799698681572
drop1,39,3.9,1133.4414737578088,91.20122813150735,2698.7241490173424,217.15012418111897,brownian,-0.010807809096118975,2698.7349568264385
drop1,40,4.0,1125.881911276613,94.64189872905368,2680.724830749615,225.3423608738768,brownian,-0.011084932406275873,2680.7359156820216
drop1,41,4.1,1137.9066963549399,91.04304799604157,2709.3558440211114,216.77349727857495,brownian,-0.011362055716432768,2709.3672060768276
drop1,42,4.2,1146.9139061394544,86.87166103293765,2730.802010518041,206.84142491942453,brownian,-0.011639179026589667,2730.8136496970674
drop1,43,4.3,1125.9494624523468,94.59041491013978,2680.8856700990373,225.21977790104282,brownian,-0.011916302336746563,2680.897586401374
drop1,44,4.4,1124.0957684359441,87.2191786521685,2676.472024645983,207.66886437081317,brownian,-0.01219342564690346,2676.4842180716296
drop1,45,4.5,1123.8463779650658,87.16722331973679,2675.8782259348213,207.5451587242933,brownian,-0.012470548957060356,2675.8906964837784
drop1,46,4.6,1124.1120446990594,87.27069806917038,2676.51077842846,207.79153210269465,brownian,-0.012747672267217253,2676.5235261007274
drop1,47,4.7,1126.6743531658558,95.73082353897259,2682.6116348879023,227.93509084629372,brownian,-0.01302479557737415,2682.6246596834794
drop1,48,4.8,1127.2595675121263,94.20291031859655,2684.0050302463724,224.29712946857836,brownian,-0.013301918887531046,2684.01833216526
drop1,49,4.9,1146.8382134555786,86.94255229855372,2730.6217862377325,207.01021702285638,brownian,-0.013579042197687945,2730.6353652799303
drop1,50,5.0,1123.2405642615067,86.39104365205804,2674.435783506647,205.69707493555018,brownian,-0.013856165507844841,2674.449639672155
drop1,51,5.1,1124.2123554882319,87.31167383568888,2676.7496184174797,207.8890954027752,brownian,-0.014133288818001737,2676.7637517062976
drop1,52,5.2,1123.9304758786602,87.26554114649319,2676.0784630670896,207.77925346980027,brownian,-0.014410412128158636,2676.092873479218
