drop_id,msd_slope_m2_s,msd_intercept_m2,diffusion_m2_s,diffusion_stderr_m2_s,msd_fit_r2,fit_point_count
all,3.7088772317689707e-11,4.6221911645079846e-11,1.8544386158844853e-11,1.7199336263671965e-13,0.9984540372231745,20
drop1,3.7088772317689707e-11,4.6221911645079846e-11,1.8544386158844853e-11,1.7199336263671965e-13,0.9984540372231745,20
