drop_id,frame,time_s,x_px,y_px,x_um,y_um,source_video
drop1,61,6.1,666.8446448588606,57.56593294609192,1587.7570994089472,137.06448634464485,freefall
drop1,62,6.2,692.7276691887348,48.81799075241698,1649.3845803383774,116.23563598150483,freefall
drop1,63,6.3,691.3422308246309,37.204402232625135,1646.085851593446,88.58368171588045,freefall
drop1,64,6.4,711.6442618139125,50.831572253204186,1694.4249873789256,121.02997353487916,freefall
drop1,65,6.5,688.0536350063168,77.31801998392098,1638.2557049500401,184.09420558171584,freefall
drop1,66,6.6,716.4580030359251,51.59090909090909,1705.8865052285375,122.83795454545454,freefall
drop1,67,6.7,730.4687976371952,76.9329744664634,1739.2462071741616,183.17741220464936,freefall
drop1,68,6.8,720.6552982947442,60.67030054508176,1715.8802652397858,144.45598559783966,freefall
drop1,69,6.9,712.5608828342696,43.44239019859348,1696.6074620283957,103.43633106285107,freefall
drop1,70,7.0,718.3251827702035,58.56268524007113,1710.3322601758543,139.43775355660935,freefall
drop1,71,7.1,738.1020543720643,51.97864971295725,1757.420991459885,123.7611649665512,freefall
drop1,72,7.2,744.1882128413687,55.553278502294724,1771.9121347752987,132.27235611396372,freefall
drop1,73,7.3,760.6827392120075,50.98119136960601,1811.1856020637897,121.3862166510319,freefall
drop1,74,7.4,787.2701471162609,77.82840775940633,1874.490220283817,185.30943887514647,freefall
drop1,75,7.5,819.0830671837573,97.57442682787726,1950.236782964526,232.32471027717574,freefall
drop1,76,7.6,796.9604231043498,126.88158624514698,1897.562767411457,302.1050568496949,freefall
drop1,77,7.7,781.3424841323082,108.33495020382888,1860.3764547190256,257.94551643531656,freefall
drop1,78,7.8,790.1813718986334,110.27690062359028,1881.421846490646,262.56930038476844,freefall
drop1,79,7.9,827.7561670244928,121.40224773255049,1970.887433685317,289.0587518512027,freefall
drop1,80,8.0,841.8147394671216,109.25432033950213,2004.3608946712163,260.13453672835453,freefall
drop1,81,8.1,835.2964483163009,117.89663260177585,1988.8408434411124,280.7118822248283,freefall
drop1,82,8.2,831.8919088890199,142.15679106970893,1980.734635064756,338.47531953697694,freefall
drop1,83,8.3,834.4599983315259,162.8361349795612,1986.8492560273628,387.7128373863352,freefall
drop1,84,8.4,832.6590228260411,141.5330154845787,1982.5611333488037,336.9901098687819,freefall
drop1,85,8.5,844.960820572089,157.09001252046613,2011.8517137821436,374.0313198112298,freefall
drop1,86,8.6,845.1748224555371,163.66701459241523,2012.3612522666335,389.69116174454064,freefall
drop1,87,8.7,831.8321836795548,160.25792664745055,1980.5924293410196,381.5741233475797,freefall
drop1,88,8.8,844.3853525125785,149.35389047788055,2010.4815243324492,355.6116132278336,freefall
