drop_id,frame,time_s,x_px,y_px,x_um,y_um,source_video,x_drift_um,x_dedrift_um
drop1,0,0.0,624.2561170685467,531.2967889092956,1486.3538147402096,1265.0176543930327,brownian,0.0,1486.3538147402096
drop1,1,0.1,621.0289085199424,530.435828955478,1478.6698311859827,1262.967708742993,brownian,0.007962567739248033,1478.6618686182435
drop1,2,0.2,622.2746717424267,532.2871890828145,1481.6359934187178,1267.3757972061812,brownian,0.015925135478496066,1481.6200682832393
drop1,3,0.3,622.5828240286266,531.1770163716394,1482.36970401216,1264.7324759808732,brownian,0.0238877032177441,1482.3458163089422
drop1,4,0.4,618.686217552534,532.3957354758961,1473.0918839925832,1267.6342461681086,brownian,0.03185027095699213,1473.0600337216263
drop1,5,0.5,617.933555968621,530.8060552597586,1471.2997967612864,1263.8492175734852,brownian,0.039812838696240166,1471.2599839225902
drop1,6,0.6,620.312242439612,531.0015849870031,1476.963449248716,1264.3147738540542,brownian,0.0477754064354882,1476.9156738422805
drop1,7,0.7,620.1909712552988,528.3721959219035,1476.6747025588663,1258.0541984900522,brownian,0.05573797417473623,1476.6189645846916
drop1,8,0.8,618.8018763475322,526.9242177029311,1473.3672675834741,1254.6065623506788,brownian,0.06370054191398426,1473.3035670415602
drop1,9,0.9,618.0679737772273,527.1098154134316,1471.619845563578,1255.0484704993805,brownian,0.0716631096532323,1471.548182453925
drop1,10,1.0,619.7177624063968,528.4129648432543,1475.5479922896307,1258.1512692917884,brownian,0.07962567739248033,1475.4683666122382
drop1,11,1.1,622.33677948481,528.168216472219,1481.7838719533324,1257.5685234203534,brownian,0.08758824513172837,1481.6962837082008
drop1,12,1.2,618.0744657413527,527.3712586158059,1471.6353029301606,1255.6709667642338,brownian,0.0955508128709764,1471.5397521172897
drop1,13,1.3,619.9938166789478,526.9319514304937,1476.2052775125746,1254.6249763560054,brownian,0.10351338061022443,1476.1017641319645
drop1,14,1.4,616.6254762863604,531.9000340757722,1468.185259037824,1266.4539811344134,brownian,0.11147594834947246,1468.0737830894745
drop1,15,1.5,617.8484113229347,528.0786828422877,1471.0970673599074,1257.355343847487,brownian,0.1194385160887205,1470.9776288438188
drop1,16,1.6,615.1849764975292,529.9704411232976,1464.755429040617,1261.8596203145717,brownian,0.12740108382796853,1464.628027956789
drop1,17,1.7,616.462613833643,524.8715926050011,1467.7974835379039,1249.7192619925074,brownian,0.13536365156721655,1467.6621198863368
drop1,18,1.8,615.9199384141648,526.9957363652513,1466.5053733641262,1254.7768482856634,brownian,0.1433262193064646,1466.3620471448196
drop1,19,1.9,614.8009402914904,526.844099670898,1463.8410388340385,1254.415801316408,brownian,0.15128878704571264,1463.6897500469927
drop1,20,2.0,614.9075809064058,527.3517642201543,1464.094950138152,1255.6245506081873,brownian,0.15925135478496066,1463.935698783367
drop1,21,2.1,616.8521307173206,528.8286990752312,1468.7249232379402,1259.1411324981252,brownian,0.1672139225242087,1468.5577093154159
drop1,22,2.2,614.6237870116945,526.1449676536452,1463.4192368748445,1252.751167983329,brownian,0.17517649026345675,1463.244060384581
drop1,23,2.3,614.5556928626298,524.2029324337865,1463.2571047059214,1248.1271821248456,brownian,0.18313905800270475,1463.0739656479186
drop1,24,2.4,613.7765140654369,528.0700882474753,1461.4018799898051,1257.3348801172385,brownian,0.1911016257419528,1461.2107783640631
drop1,25,2.5,612.7224577572965,526.5605529953917,1458.8921719201228,1253.7406766820277,brownian,0.19906419348120083,1458.6931077266415
drop1,26,2.6,615.2107427322655,529.3533944848607,1464.816778445524,1260.3904322684532,brownian,0.20702676122044886,1464.6097516843035
drop1,27,2.7,614.3648327602376,528.1315411065958,1462.8026668021257,1257.4811993748044,brownian,0.2149893289596969,1462.587677473166
