drop_id,msd_slope_m2_s,msd_intercept_m2,diffusion_m2_s,diffusion_stderr_m2_s,msd_fit_r2,fit_point_count
1,4.4047847658507296e-11,4.8659607299613893e-11,2.2023923829253648e-11,1.4644530783902455e-13,0.9996464116656728,10
all,4.4047847658507296e-11,4.8659607299613893e-11,2.2023923829253648e-11,1.4644530783902455e-13,0.9996464116656728,10
