drop_id,lag_s,lag_frames,sample_count,mean_dx_um,msd_um2,mean_dx_m,msd_m2
1,0.5,5,4790,-0.038534800255608403,71.06186140885177,-3.85348002556084e-08,7.106186140885177e-11
1,1.0,10,4785,-0.07999482785108666,94.11700988253821,-7.999482785108667e-08,9.411700988253821e-11
1,1.5,15,4780,-0.10346203482578456,114.9744317517608,-1.0346203482578455e-07,1.149744317517608e-10
1,2.0,20,4775,-0.11635570723408029,136.64349213088326,-1.1635570723408028e-07,1.3664349213088327e-10
1,2.5,25,4770,-0.12439780972702416,157.11616875667934,-1.2439780972702415e-07,1.5711616875667934e-10
1,3.0,30,4765,-0.1375376105091073,180.1878638271809,-1.3753761050910729e-07,1.801878638271809e-10
1,3.5,35,4760,-0.1353078455225191,201.75438949422605,-1.353078455225191e-07,2.0175438949422604e-10
1,4.0,40,4755,-0.13715746888326968,224.33319634366785,-1.3715746888326967e-07,2.2433319634366785e-10
1,4.5,45,4750,-0.12919065341199043,246.19309325974632,-1.2919065341199041e-07,2.461930932597463e-10
1,5.0,50,4745,-0.12990842234563624,271.5303767495551,-1.2990842234563624e-07,2.715303767495551e-10
all,0.5,5,4790,-0.038534800255608403,71.06186140885177,-3.85348002556084e-08,7.106186140885177e-11
all,1.0,10,4785,-0.07999482785108666,94.11700988253821,-7.999482785108667e-08,9.411700988253821e-11
all,1.5,15,4780,-0.10346203482578456,114.9744317517608,-1.0346203482578455e-07,1.149744317517608e-10
all,2.0,20,4775,-0.11635570723408029,136.64349213088326,-1.1635570723408028e-07,1.3664349213088327e-10
all,2.5,25,4770,-0.12439780972702416,157.11616875667934,-1.2439780972702415e-07,1.5711616875667934e-10
all,3.0,30,4765,-0.1375376105091073,180.1878638271809,-1.3753761050910729e-07,1.801878638271809e-10
all,3.5,35,4760,-0.1353078455225191,201.75438949422605,-1.353078455225191e-07,2.0175438949422604e-10
all,4.0,40,4755,-0.13715746888326968,224.33319634366785,-1.3715746888326967e-07,2.2433319634366785e-10
all,4.5,45,4750,-0.12919065341199043,246.19309325974632,-1.2919065341199041e-07,2.461930932597463e-10
all,5.0,50,4745,-0.12990842234563624,271.5303767495551,-1.2990842234563624e-07,2.715303767495551e-10
