particle_id,analysis_index,t,y,source_index,y_m,is_valid_freefall
particle3,0,0.0,0.125,0,0.000125,False
particle3,1,0.1,0.124,1,0.000124,False
particle3,2,0.2,0.123,2,0.000123,False
particle3,3,0.3,0.124,3,0.000124,False
particle3,4,0.4,0.126,4,0.000126,False
particle3,5,0.5,0.127,5,0.000127,False
particle3,6,0.6,0.126,6,0.000126,False
particle3,7,0.7,0.127,7,0.000127,False
particle3,8,0.8,0.128,8,0.000128,False
particle3,9,0.9,0.131,9,0.000131,False
particle3,10,1.0,0.129,10,0.00012900000000000002,False
particle3,11,1.1,0.13,11,0.00013000000000000002,False
particle3,12,1.2,0.131,12,0.000131,False
particle3,13,1.3,0.126,13,0.000126,False
particle3,14,1.4,0.124,14,0.000124,False
particle3,15,1.5,0.124,15,0.000124,False
particle3,16,1.6,0.123,16,0.000123,False
particle3,17,1.7,0.12,17,0.00012,False
particle3,18,1.8,0.119,18,0.00011899999999999999,False
particle3,19,1.9,0.12,19,0.00012,False
particle3,20,2.0,0.12,20,0.00012,False
particle3,21,2.1,0.123,21,0.000123,False
particle3,22,2.2,0.122,22,0.000122,False
particle3,23,2.3,0.122,23,0.000122,False
particle3,24,2.4,0.121,24,0.000121,False
particle3,25,2.5,0.121,25,0.000121,False
particle3,26,2.6,0.122,26,0.000122,False
particle3,27,2.7,0.124,27,0.000124,False
particle3,28,2.8,0.115,28,0.000115,False
particle3,29,2.9,0.104,29,0.000104,False
particle3,30,3.0,0.09723,30,9.723e-05,False
particle3,31,3.1,0.08901,31,8.901e-05,False
particle3,32,3.2,0.08279,32,8.279e-05,False
particle3,33,3.3,0.07519,33,7.519e-05,False
particle3,34,3.4,0.06856,34,6.856e-05,False
particle3,35,3.5,0.0622,35,6.22e-05,False
particle3,36,3.6,0.05649,36,5.649e-05,False
particle3,37,3.7,0.05126,37,5.126e-05,False
particle3,38,3.8,0.04698,38,4.698e-05,True
particle3,39,3.9,0.03881,39,3.8809999999999996e-05,True
particle3,40,4.0,0.03378,40,3.378e-05,True
particle3,41,4.1,0.02642,41,2.642e-05,True
particle3,42,4.2,0.02242,42,2.242e-05,True
particle3,43,4.3,0.01547,43,1.547e-05,True
particle3,44,4.4,0.007728,44,7.728e-06,True
particle3,45,4.5,-0.00299,45,-2.99e-06,True
particle3,46,4.6,-0.00954,46,-9.54e-06,True
particle3,47,4.7,-0.02056,47,-2.056e-05,True
particle3,48,4.8,-0.02562,48,-2.5620000000000002e-05,True
particle3,49,4.9,-0.0301,49,-3.01e-05,True
particle3,50,5.0,-0.03685,50,-3.685e-05,True
particle3,51,5.1,-0.04472,51,-4.4720000000000006e-05,True
particle3,52,5.2,-0.05165,52,-5.165e-05,True
particle3,53,5.3,-0.06019,53,-6.0190000000000005e-05,True
particle3,54,5.4,-0.06509,54,-6.509e-05,True
particle3,55,5.5,-0.07295,55,-7.295e-05,True
particle3,56,5.6,-0.0742,56,-7.42e-05,True
particle3,57,5.7,-0.08281,57,-8.281e-05,True
particle3,58,5.8,-0.08974,58,-8.974e-05,True
particle3,59,5.9,-0.0954,59,-9.54e-05,True
particle3,60,6.0,-0.102,60,-0.000102,True
particle3,61,6.1,-0.105,61,-0.000105,True
